,tokens,label
0,"[101, 2129, 2097, 2057, 2147, 2009, 2041, 1037, 2843, 1997, 2111, 2097, 25728, 1996, 4534, 1999, 12703, 1998, 15806, 1998, 2383, 1037, 3608, 2030, 2062, 14797, 3973, 1996, 25430, 22425, 2100, 12566, 2024, 5870, 102]",0
1,"[101, 1999, 2070, 5468, 2027, 12530, 2588, 1996, 3252, 1997, 3265, 6180, 2116, 16310, 2024, 3209, 13359, 5857, 2000, 2023, 10439, 14995, 12002, 2054, 4618, 2122, 3896, 2022, 102]",0
2,"[101, 2045, 2001, 2053, 2028, 2012, 1996, 14255, 9092, 2094, 2002, 2018, 2053, 3437, 1996, 15117, 2003, 2613, 2438, 1996, 19738, 2015, 102]",0
3,"[101, 1996, 3653, 2082, 2121, 2481, 1005, 1056, 12064, 4697, 2014, 5346, 2055, 1996, 5057, 3785, 2116, 7272, 5939, 3597, 5644, 11867, 7630, 20800, 2094, 1998, 4149, 2119, 1037, 12187, 1998, 1037, 21567, 1996, 2047, 9282, 2009, 2229, 2499, 2524, 2006, 2128, 6519, 18477, 12053, 2037, 3080, 2188, 102]",0
4,"[101, 2057, 2036, 3246, 2000, 3113, 1996, 11059, 17104, 2008, 2003, 1037, 3338, 2007, 4535, 102]",0
5,"[101, 2002, 3662, 26136, 2100, 2273, 4457, 2011, 21459, 2135, 5939, 5521, 20913, 6681, 2002, 2089, 2031, 1037, 2391, 1999, 14328, 2008, 5476, 3372, 6991, 2022, 2445, 8491, 11580, 1037, 4714, 9210, 2196, 2106, 2191, 1996, 4164, 102]",0
6,"[101, 2200, 14099, 25928, 5262, 3849, 2000, 2058, 15166, 2107, 19318, 2015, 2040, 6499, 22507, 23640, 2015, 2256, 4412, 3392, 1996, 5722, 2163, 2064, 5987, 29160, 14038, 102]",0
7,"[101, 1996, 3465, 1997, 2162, 2003, 2062, 2084, 2008, 1037, 2610, 9934, 2211, 2055, 2048, 3134, 2077, 1996, 2236, 2602, 102]",0
8,"[101, 1996, 3345, 2001, 2006, 2051, 1996, 2160, 2001, 2061, 2092, 4862, 13900, 102]",0
9,"[101, 2008, 2001, 3048, 27793, 2175, 3363, 14955, 2594, 11262, 2018, 1037, 2087, 13318, 5027, 102]",0
10,"[101, 2788, 2017, 2323, 2681, 2009, 2894, 1999, 1996, 3482, 2127, 1996, 23021, 2094, 2002, 2001, 2704, 2005, 2591, 3425, 102]",0
11,"[101, 2129, 1005, 1055, 2009, 4894, 2017, 3582, 4189, 4926, 4028, 5920, 2202, 2115, 4060, 2129, 2097, 2057, 2147, 2009, 2041, 1037, 2843, 1997, 2111, 2097, 25728, 1996, 4534, 1999, 12703, 1998, 16137, 10997, 1998, 2383, 1037, 3608, 102]",0
12,"[101, 2057, 2031, 2000, 2022, 2200, 2200, 6176, 2002, 2097, 4769, 1996, 3842, 2023, 3944, 102]",0
13,"[101, 2057, 2031, 2288, 2053, 2769, 2000, 2175, 5973, 2057, 2024, 2025, 2007, 2017, 2009, 3791, 2000, 2022, 19616, 2041, 2011, 10957, 102]",0
14,"[101, 3960, 24446, 2094, 2119, 8710, 2007, 1996, 8066, 1997, 1037, 3460, 1996, 2601, 14163, 15952, 15825, 6357, 2105, 2005, 2661, 2106, 13218, 4608, 2008, 2502, 13020, 2302, 2393, 14875, 2031, 10923, 2098, 2519, 1998, 14231, 12261, 102]",0
15,"[101, 2009, 2003, 1996, 2168, 2035, 2168, 2425, 2033, 2049, 2171, 2017, 2035, 2215, 1037, 3328, 3328, 2002, 2056, 1061, 3363, 2323, 2031, 2292, 2033, 2079, 2009, 2672, 2000, 2154, 5665, 2022, 1037, 2204, 2739, 2154, 2821, 2057, 3266, 2016, 2056, 102]",0
16,"[101, 1996, 9815, 2078, 9253, 4438, 6288, 5419, 2096, 19654, 3418, 8435, 1996, 11616, 2001, 12532, 4648, 4726, 2174, 2002, 2001, 2025, 15241, 5191, 1996, 25251, 6750, 8176, 15743, 27117, 102]",0
17,"[101, 2216, 2040, 2024, 2025, 16405, 15061, 2015, 2224, 27141, 11546, 2043, 2437, 20717, 1996, 3587, 15723, 3397, 2502, 28900, 18237, 2229, 4157, 2003, 4961, 2006, 9561, 8894, 2066, 10314, 1999, 16868, 10019, 102]",0
18,"[101, 2057, 2018, 2000, 4066, 2009, 2041, 9731, 2027, 2106, 2205, 2021, 2009, 2134, 1005, 1056, 3043, 2011, 1996, 2102, 102]",0
19,"[101, 8307, 1005, 2222, 2031, 2000, 2707, 3241, 2002, 2246, 2058, 2012, 2032, 4688, 2045, 6680, 1998, 2002, 2371, 1037, 4400, 1997, 7065, 23316, 2339, 2481, 1005, 1056, 2027, 2031, 14019, 2032, 2125, 2006, 2070, 2028, 2842, 12246, 7968, 2094, 2039, 102]",0
20,"[101, 2821, 2057, 3266, 2016, 2056, 2648, 2069, 1037, 9210, 1997, 12060, 2815, 2174, 1996, 19070, 2815, 19335, 2011, 2195, 6474, 6265, 2282, 15264, 2015, 102]",0
21,"[101, 2073, 2003, 1996, 2529, 2679, 2129, 2234, 11937, 2102, 2003, 2061, 2411, 22719, 102]",0
22,"[101, 15967, 2791, 2001, 2053, 2936, 25775, 2009, 2052, 2022, 2092, 2000, 2265, 1996, 22508, 2129, 2057, 3066, 2007, 4639, 7869, 2869, 1037, 9118, 24514, 2098, 2011, 2049, 11737, 4597, 13109, 27100, 4892, 2083, 1996, 24067, 7345, 16405, 29033, 3709, 2032, 2004, 2002, 14648, 2830, 102]",0
23,"[101, 1999, 1037, 2126, 2002, 2481, 1005, 1056, 7499, 2014, 2016, 2018, 5598, 2185, 2013, 2010, 11004, 3543, 2066, 1037, 4937, 12892, 2011, 1037, 2217, 3612, 2121, 2002, 2018, 2187, 2014, 1999, 25500, 13806, 3241, 24666, 2052, 7132, 2014, 1999, 2051, 102]",0
24,"[101, 2021, 2130, 2388, 1005, 1055, 8295, 7729, 2097, 2025, 2467, 4652, 28616, 4783, 3270, 25500, 3126, 2016, 2064, 9885, 1996, 2193, 1997, 17232, 2015, 2016, 2064, 6366, 2035, 14161, 6799, 14161, 8684, 2015, 2306, 3362, 2788, 2027, 14841, 12079, 9928, 2044, 2027, 2031, 2979, 2011, 102]",0
25,"[101, 2009, 1005, 1055, 2008, 2785, 1997, 2173, 1045, 2085, 2043, 2008, 1005, 1055, 1996, 2126, 2027, 2024, 1045, 2128, 2008, 2003, 4489, 102]",0
26,"[101, 6638, 3662, 1999, 6065, 9372, 4218, 1996, 3797, 2002, 2973, 1998, 8726, 2005, 1996, 5471, 2194, 2702, 2086, 3283, 2027, 8682, 2039, 2070, 1997, 2256, 14033, 2229, 102]",0
27,"[101, 2009, 14867, 2014, 9222, 11131, 2007, 2049, 13580, 24719, 2296, 2929, 2016, 2081, 2790, 4895, 2638, 9623, 22740, 2135, 20810, 2970, 21954, 9587, 14287, 7699, 2002, 3592, 2091, 2012, 2049, 13675, 16103, 2135, 7842, 12588, 2187, 2217, 102]",0
28,"[101, 17235, 2307, 20014, 2006, 2256, 3470, 102]",0
29,"[101, 2023, 2158, 2003, 3809, 2055, 2010, 2147, 2027, 2097, 2954, 2005, 2673, 1045, 2228, 2002, 2064, 4175, 2114, 2017, 2085, 102]",0
30,"[101, 1996, 2851, 24903, 2006, 1996, 6804, 4773, 1043, 9863, 6675, 1999, 1996, 3103, 1996, 18408, 13155, 1996, 2342, 2005, 27352, 2895, 1996, 2235, 2879, 2404, 1996, 15485, 2006, 1996, 8103, 2129, 4568, 2024, 2037, 2636, 102]",0
31,"[101, 2023, 6039, 2097, 2022, 6135, 9808, 4014, 15536, 2818, 5467, 1045, 2910, 1005, 1056, 2464, 2068, 1999, 2809, 2086, 102]",0
32,"[101, 1996, 1053, 2906, 29278, 2271, 2003, 1996, 2034, 3231, 3130, 2027, 9413, 6906, 5562, 1999, 1037, 2647, 2457, 1997, 11865, 2386, 26008, 2015, 102]",0
33,"[101, 1996, 2878, 2555, 2003, 1999, 5213, 2197, 2733, 5685, 1999, 2762, 2002, 2442, 22684, 2102, 102]",0
34,"[101, 2002, 8823, 2176, 4469, 6763, 2005, 6350, 2057, 2933, 2000, 3857, 1037, 2047, 19645, 3269, 11845, 1998, 23215, 2175, 2192, 1999, 2192, 23366, 2063, 1005, 1055, 12098, 16416, 2869, 2024, 14057, 2005, 1037, 4248, 6265, 102]",0
35,"[101, 1999, 2804, 3056, 2752, 2024, 2701, 2012, 3056, 2335, 27364, 1045, 1005, 1040, 2293, 2000, 2022, 2012, 1996, 2088, 2452, 102]",0
36,"[101, 2009, 2001, 1037, 8915, 2080, 2009, 1005, 1055, 1996, 2126, 2057, 2175, 11113, 2100, 1996, 2326, 2013, 1996, 2060, 12583, 2001, 102]",0
37,"[101, 2057, 2031, 2288, 2053, 2769, 2000, 2175, 5973, 2057, 2024, 2025, 2007, 2017, 2009, 3791, 2000, 2022, 19616, 2041, 2011, 28517, 2099, 102]",0
38,"[101, 2028, 2161, 2027, 2453, 2079, 2092, 5525, 2057, 2020, 3492, 2485, 1999, 1037, 3232, 1997, 2208, 102]",0
39,"[101, 2057, 2018, 2000, 4756, 2021, 2045, 2001, 2053, 2183, 2067, 8403, 2154, 3475, 1005, 1056, 2009, 102]",0
40,"[101, 2577, 1005, 1055, 19810, 2055, 1037, 2925, 3806, 15843, 1996, 10135, 20133, 2015, 25850, 24667, 2098, 2256, 11481, 20452, 3531, 2460, 2368, 2023, 9764, 2005, 11830, 2010, 3244, 2371, 2004, 2065, 2009, 2020, 3714, 102]",0
41,"[101, 2025, 2302, 2204, 3114, 2038, 1996, 28141, 2042, 2170, 8183, 15431, 3485, 2483, 1999, 2739, 5167, 1037, 2158, 2003, 2625, 2411, 2915, 1999, 1996, 2303, 2030, 2132, 2084, 1999, 1996, 9435, 1037, 2450, 2777, 1037, 3297, 3166, 2012, 1037, 4706, 5572, 102]",0
42,"[101, 2008, 5043, 8776, 1996, 4458, 1997, 1996, 2208, 1045, 2031, 2307, 4847, 2005, 2035, 2026, 2867, 102]",0
43,"[101, 2111, 2298, 2021, 2053, 2028, 2412, 4858, 2009, 1045, 2435, 2032, 1037, 2126, 2041, 1998, 2002, 2165, 2009, 102]",0
44,"[101, 2002, 2207, 1037, 2431, 6474, 3948, 4042, 2012, 1996, 2617, 1996, 3112, 1999, 2762, 2003, 2204, 102]",0
45,"[101, 2016, 2001, 2019, 2069, 2775, 1045, 4999, 2055, 5278, 7151, 2099, 102]",0
46,"[101, 3835, 2130, 2065, 1037, 13012, 21031, 11721, 20217, 2917, 2003, 1037, 3563, 5009, 3145, 2098, 2000, 1996, 8094, 1037, 9498, 11975, 2089, 2031, 1037, 5923, 1999, 2014, 4091, 2028, 3371, 1998, 4682, 2022, 9289, 7583, 1996, 2279, 102]",0
47,"[101, 4910, 3688, 2024, 17837, 2135, 5500, 16970, 2000, 5589, 1999, 7756, 1005, 1055, 13582, 2971, 15536, 2818, 2146, 3720, 2001, 28670, 1998, 2734, 18856, 8486, 10803, 102]",0
48,"[101, 2028, 1997, 1996, 3471, 3378, 2007, 1996, 4671, 2126, 12402, 2013, 1996, 3937, 2801, 7346, 10633, 1998, 20157, 2024, 1996, 2087, 2691, 4725, 1997, 2314, 20975, 5672, 2009, 2007, 1996, 6231, 1997, 2028, 2030, 2178, 1997, 1996, 2088, 1005, 1055, 3297, 21237, 2015, 102]",0
49,"[101, 1996, 10098, 2003, 1037, 2407, 1997, 2317, 2422, 2046, 2116, 3376, 6087, 1059, 16584, 5886, 2023, 2709, 2001, 2205, 2574, 102]",0
50,"[101, 2002, 2001, 2074, 2066, 1037, 23834, 2000, 2009, 2016, 2150, 2200, 2204, 2012, 2009, 102]",0
51,"[101, 2017, 1005, 2222, 2031, 2000, 3046, 2009, 2894, 2008, 5028, 2125, 1037, 2561, 29375, 2002, 3856, 2039, 1996, 9898, 2064, 12911, 1998, 2743, 2041, 9898, 8457, 12670, 9072, 4218, 1996, 9540, 11721, 16416, 2015, 2020, 3868, 2875, 2032, 102]",0
52,"[101, 4104, 2308, 3711, 2012, 10267, 2457, 1999, 8159, 7971, 2000, 2305, 24264, 2213, 2025, 4452, 1997, 2008, 102]",0
53,"[101, 2017, 1005, 2128, 16018, 6501, 7110, 1005, 1056, 2017, 2682, 2032, 29199, 9345, 9033, 3726, 5192, 1997, 1037, 4040, 6112, 2054, 2055, 1037, 5572, 2282, 2059, 2016, 2001, 2061, 3376, 2061, 24329, 2061, 6770, 19210, 102]",0
54,"[101, 2153, 1996, 20302, 16530, 3012, 1997, 1996, 2048, 10543, 21586, 2008, 2107, 14025, 4839, 1996, 5304, 2003, 1037, 3647, 1998, 4568, 2188, 2023, 7607, 2070, 2177, 4515, 1998, 3640, 1037, 19777, 1997, 2037, 26563, 15719, 102]",0
109,"[101, 1041, 3446, 1997, 3930, 1998, 2053, 4026, 2009, 1998, 2053, 4783, 2022, 18353, 5582, 2000, 2358, 2953, 2009, 8586, 2072, 7089, 2027, 2020, 2025, 4452, 2000, 27753, 2618, 3899, 102]",0
110,"[101, 6913, 2004, 14186, 1996, 26101, 12208, 1996, 2336, 1998, 10848, 11584, 9669, 2000, 3443, 2107, 1037, 10437, 2344, 1037, 17502, 24496, 2013, 2151, 10437, 4497, 1996, 8040, 8095, 24174, 3341, 2003, 3391, 16004, 102]",0
111,"[101, 2000, 2070, 6698, 3653, 10521, 26994, 2015, 2024, 5044, 2011, 7524, 2000, 2177, 10058, 1999, 2070, 5468, 2027, 12530, 2588, 1996, 3252, 1997, 3265, 6180, 102]",0
112,"[101, 1045, 2066, 1996, 2452, 1010, 2009, 3504, 3492, 102]",0
113,"[101, 1045, 5223, 2008, 3482, 102]",0
114,"[101, 2028, 2048, 2093, 102]",0
115,"[101, 2023, 2003, 1037, 2460, 6251, 102]",0
116,"[101, 1045, 2031, 1037, 2714, 14757, 102]",0
117,"[101, 3531, 2123, 1005, 1056, 2079, 2008, 102]",0
118,"[101, 2054, 2003, 2008, 4874, 1029, 102]",0
119,"[101, 1037, 3608, 2003, 1037, 2828, 1997, 10336, 102]",0
120,"[101, 1996, 2277, 2038, 1037, 2502, 2892, 102]",0
121,"[101, 1045, 2716, 2026, 2300, 5835, 2651, 102]",0
122,"[101, 2017, 2123, 1005, 1056, 2031, 1037, 11565, 6073, 2099, 102]",0
123,"[101, 2339, 2052, 1045, 2215, 1996, 5474, 11867, 6657, 19099, 2099, 1029, 102]",0
124,"[101, 2057, 2342, 2460, 2742, 11746, 102]",0
125,"[101, 1996, 2465, 18095, 2987, 1005, 1056, 2147, 2092, 102]",0
126,"[101, 2393, 1010, 1045, 1005, 1049, 2108, 14757, 5999, 102]",0
127,"[101, 2008, 1005, 1055, 2025, 2026, 2452, 1997, 5572, 102]",0
128,"[101, 2892, 2115, 2540, 1998, 3246, 2000, 3280, 102]",0
129,"[101, 1037, 6520, 23111, 2072, 1999, 1037, 5835, 102]",0
130,"[101, 2204, 2851, 25462, 102]",0
131,"[101, 7592, 102]",0
132,"[101, 2054, 1005, 1055, 2115, 2171, 1029, 102]",0
133,"[101, 2002, 2003, 7501, 1998, 4122, 2833, 102]",0
243,"[101, 1041, 3446, 1997, 3930, 1998, 2053, 4026, 2009, 1998, 2053, 4783, 2022, 18353, 5582, 2000, 2358, 2953, 2009, 8586, 2072, 7089, 2027, 2020, 2025, 4452, 2000, 27753, 2618, 3899, 102]",0
244,"[101, 6913, 2004, 14186, 1996, 26101, 12208, 1996, 2336, 1998, 10848, 11584, 9669, 2000, 3443, 2107, 1037, 10437, 2344, 1037, 17502, 24496, 2013, 2151, 10437, 4497, 1996, 8040, 8095, 24174, 3341, 2003, 3391, 16004, 102]",0
245,"[101, 2000, 2070, 6698, 3653, 10521, 26994, 2015, 2024, 5044, 2011, 7524, 2000, 2177, 10058, 1999, 2070, 5468, 2027, 12530, 2588, 1996, 3252, 1997, 3265, 6180, 102]",0
246,"[101, 2507, 2033, 1996, 2187, 2452, 1015, 102]",1
247,"[101, 2064, 1045, 2031, 1996, 14757, 3531, 1015, 102]",1
248,"[101, 3531, 3413, 2033, 1996, 4874, 1015, 102]",1
249,"[101, 6723, 1996, 2157, 14757, 1016, 102]",2
250,"[101, 3413, 2033, 1996, 2452, 1015, 102]",1
251,"[101, 3531, 2192, 2033, 1996, 4874, 1015, 102]",1
252,"[101, 2507, 2033, 1996, 2187, 4874, 3531, 1015, 102]",1
253,"[101, 10616, 1996, 2452, 1016, 102]",2
254,"[101, 3531, 2507, 2033, 1996, 2452, 1015, 102]",1
255,"[101, 2507, 2033, 1996, 2157, 2452, 3531, 1015, 102]",1
256,"[101, 3531, 3413, 2033, 1996, 2452, 1015, 102]",1
257,"[101, 6723, 1996, 2452, 3531, 1016, 102]",2
258,"[101, 3531, 2192, 2033, 1996, 2187, 2452, 1015, 102]",1
259,"[101, 2192, 2033, 1996, 2452, 3531, 1015, 102]",1
260,"[101, 2507, 2033, 1996, 14757, 1015, 102]",1
261,"[101, 3531, 10616, 1996, 2157, 14757, 1016, 102]",2
262,"[101, 3531, 2192, 2033, 1996, 14757, 1015, 102]",1
263,"[101, 2192, 2033, 1996, 14757, 3531, 1015, 102]",1
264,"[101, 3413, 2033, 1996, 2187, 14757, 1015, 102]",1
265,"[101, 3531, 6723, 1996, 14757, 1016, 102]",2
266,"[101, 3413, 2033, 1996, 14757, 3531, 1015, 102]",1
267,"[101, 2064, 1045, 2031, 1996, 2157, 4874, 1015, 102]",1
268,"[101, 3531, 2507, 2033, 1996, 4874, 1015, 102]",1
269,"[101, 10616, 1996, 4874, 1016, 102]",2
270,"[101, 2192, 2033, 1996, 2187, 4874, 3531, 1015, 102]",1
271,"[101, 3413, 2033, 1996, 4874, 1015, 102]",1
272,"[101, 3413, 2033, 1996, 4874, 3531, 1015, 102]",1
273,"[101, 6723, 1996, 2157, 3482, 1016, 102]",2
274,"[101, 3531, 2192, 2033, 1996, 3482, 1015, 102]",1
275,"[101, 2064, 1045, 2031, 1996, 3482, 3531, 1015, 102]",1
276,"[101, 2192, 2033, 1996, 2187, 10336, 1015, 102]",1
277,"[101, 3531, 10616, 1996, 10336, 1016, 102]",2
278,"[101, 2507, 2033, 1996, 10336, 3531, 1015, 102]",1
279,"[101, 3413, 2033, 1996, 2157, 2892, 1015, 102]",1
280,"[101, 3531, 2507, 2033, 1996, 2892, 1015, 102]",1
281,"[101, 6723, 1996, 2892, 3531, 1016, 102]",2
282,"[101, 2064, 1045, 2031, 1996, 2187, 5835, 1015, 102]",1
283,"[101, 3531, 2192, 2033, 1996, 5835, 1015, 102]",1
284,"[101, 3413, 2033, 1996, 5835, 3531, 1015, 102]",1
285,"[101, 2192, 2033, 1996, 2157, 11565, 6073, 2099, 1015, 102]",1
286,"[101, 3531, 10616, 1996, 5474, 11867, 6657, 19099, 2099, 1016, 102]",2
287,"[101, 2507, 2033, 1996, 11565, 11867, 6657, 19099, 2099, 3531, 1015, 102]",1
288,"[101, 3413, 2033, 1996, 2187, 5474, 6073, 2099, 1015, 102]",1
289,"[101, 3531, 2507, 2033, 1996, 11565, 6073, 2099, 1015, 102]",1
290,"[101, 6723, 1996, 5474, 11867, 6657, 19099, 2099, 3531, 1016, 102]",2